Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Kirim Saldo,DOMPET,"4,400",2025-02-21 22:28,Ke BANK BNI,-
Terima Saldo,BANK BNI,"4,400",2025-02-21 22:28,Dari DOMPET,+
Kirim Saldo,DOMPET,"86,125",2025-02-21 22:27,Ke MANDIRI,-
Terima Saldo,MANDIRI,"86,125",2025-02-21 22:27,Dari DOMPET,+
Bensin,MANDIRI,"60,000",2025-02-21 22:24,Shell,-
Kirim Saldo,MANDIRI,"1,000,000",2025-02-21 22:21,Ke DOMPET,-
Terima Saldo,DOMPET,"1,000,000",2025-02-21 22:21,Dari MANDIRI,+
Jajan,MANDIRI,"80,000",2025-02-21 22:09,Jajan Mingguan,-
Gaji Cempor,BANK BNI,"1,273,500",2025-02-20 22:20,Cempor PB Latsar,+
Kesehatan,MANDIRI,"145,000",2025-02-18 09:23,Periksa Kelinik Cikutra,-
Gaji Cempor,BANK BNI,"693,500",2025-02-17 22:19,Cempor PB TM,+
Jajan,BANK BNI,"50,000",2025-02-15 20:05,Jajan,-
Tagih Hutang,BANK BRI,"70,000",2025-02-15 19:39,,+
Belanja,BANK BRI,"63,500",2025-02-15 12:13,Seakun Chat GPT,-
Makanan,MANDIRI,"150,000",2025-02-15 11:54,,-
Jajan,MANDIRI,"83,605",2025-02-15 11:54,,-
Bensin,MANDIRI,"100,000",2025-02-15 11:54,,-
Laundry,MANDIRI,"70,000",2025-02-15 11:53,,-
Kirim Saldo,BANK BNI,"4,828",2025-02-15 11:50,Ke MANDIRI,-
Terima Saldo,MANDIRI,"4,828",2025-02-15 11:50,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"69,588",2025-02-15 11:48,Ke GOPAY,-
Terima Saldo,GOPAY,"69,588",2025-02-15 11:48,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"36,137",2025-02-15 11:46,Ke BANK BRI,-
Terima Saldo,BANK BRI,"36,137",2025-02-15 11:46,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"8,247",2025-02-15 11:46,Ke SeaBank,-
Terima Saldo,SeaBank,"8,247",2025-02-15 11:46,Dari BANK BNI,+
Kirim Saldo,DOMPET,"13,113",2025-02-15 11:45,Ke BANK BRI,-
Terima Saldo,BANK BRI,"13,113",2025-02-15 11:45,Dari DOMPET,+
